Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,Area,Weight,is_pareto
InitiationInterval_0.cpp,xczu7ev-ffvc1156-2-e,10.0,0.64001,48,1,1,1,1,unroll_16,1.0,0.9163270979099913,False
InitiationInterval_1.cpp,xczu7ev-ffvc1156-2-e,10.0,0.16001,48,1,1,1,1,unroll_64,1.0,1.0,True
InitiationInterval_2.cpp,xczu7ev-ffvc1156-2-e,10.0,1.28001,48,1,1,1,1,unroll_8,1.0,0.8111123465598584,False
InitiationInterval_3.cpp,xczu7ev-ffvc1156-2-e,10.0,10.24008,53,1,1,1,1,pipeline_1,1.0,0.10000000000000003,False
InitiationInterval_4.cpp,xczu7ev-ffvc1156-2-e,10.0,5.12007,53,1,1,1,1,unroll_2,1.0,0.3321972307923532,False
InitiationInterval_5.cpp,xczu7ev-ffvc1156-2-e,10.0,0.32001,32,1,1,1,1,unroll_32,1.0,0.9716555242007201,False
InitiationInterval_6.cpp,xczu7ev-ffvc1156-2-e,10.0,2.56007,34,1,1,1,1,unroll_4,1.0,0.6224430855904748,False
InitiationInterval_7.cpp,xczu7ev-ffvc1156-2-e,10.0,10.24008,34,1,1,1,1,pipeline,1.0,0.10000000000000003,False
InitiationInterval_8.cpp,xczu7ev-ffvc1156-2-e,5.0,0.640005,30,1,1,1,1,unroll_8,1.0,0.8111134047412284,False
InitiationInterval_9.cpp,xczu7ev-ffvc1156-2-e,5.0,0.320005,33,1,1,1,1,unroll_16,1.0,0.9163275838092382,False
InitiationInterval_10.cpp,xczu7ev-ffvc1156-2-e,5.0,0.080005,34,1,1,1,1,unroll_64,1.0,1.0,True
InitiationInterval_11.cpp,xczu7ev-ffvc1156-2-e,5.0,2.560065,35,1,1,1,1,unroll_2,1.0,0.33219446658350926,False
InitiationInterval_12.cpp,xczu7ev-ffvc1156-2-e,5.0,5.12007,35,1,1,1,1,pipeline_1,1.0,0.10000000000000003,False
InitiationInterval_13.cpp,xczu7ev-ffvc1156-2-e,5.0,5.12007,33,1,1,1,1,pipeline,1.0,0.10000000000000003,False
InitiationInterval_14.cpp,xczu7ev-ffvc1156-2-e,5.0,0.160005,32,1,1,1,1,unroll_32,1.0,0.97165569156596,False
InitiationInterval_15.cpp,xczu7ev-ffvc1156-2-e,5.0,1.280065,33,1,1,1,1,unroll_4,1.0,0.6224368661286945,False
InitiationInterval_16.cpp,xczu7ev-ffvc1156-2-e,3.33,0.21312333,36,1,1,1,1,unroll_16,1.0,0.9163279887209691,False
InitiationInterval_17.cpp,xczu7ev-ffvc1156-2-e,3.33,0.10656333,37,1,1,1,1,unroll_32,1.0,0.9716558310354836,False
InitiationInterval_18.cpp,xczu7ev-ffvc1156-2-e,3.33,0.42624333,37,1,1,1,1,unroll_8,1.0,0.8111142865500154,False
InitiationInterval_19.cpp,xczu7ev-ffvc1156-2-e,3.33,0.05328333,38,1,1,1,1,unroll_64,1.0,1.0,True
InitiationInterval_20.cpp,xczu7ev-ffvc1156-2-e,3.33,3.40998327,41,1,1,1,1,pipeline,1.0,0.10000000000000003,False
InitiationInterval_21.cpp,xczu7ev-ffvc1156-2-e,3.33,0.8525399400000001,41,1,1,1,1,unroll_4,1.0,0.6224316833287146,False
InitiationInterval_22.cpp,xczu7ev-ffvc1156-2-e,3.33,3.40998327,42,1,1,1,1,pipeline_1,1.0,0.10000000000000003,False
InitiationInterval_23.cpp,xczu7ev-ffvc1156-2-e,3.33,1.70501994,42,1,1,1,1,unroll_2,1.0,0.33219216311384475,False
InitiationInterval_24.cpp,xcu200-fsgd2104-2-e,10.0,0.64001,31,1,1,1,1,unroll_16,1.0,0.9163269359423222,False
InitiationInterval_25.cpp,xcu200-fsgd2104-2-e,10.0,1.28001,31,1,1,1,1,unroll_8,1.0,0.8111119938301105,False
InitiationInterval_26.cpp,xcu200-fsgd2104-2-e,10.0,10.24006,33,1,1,1,1,pipeline_1,1.0,0.10000000000000003,False
InitiationInterval_27.cpp,xcu200-fsgd2104-2-e,10.0,5.12005,33,1,1,1,1,unroll_2,1.0,0.3321981522062702,False
InitiationInterval_28.cpp,xcu200-fsgd2104-2-e,10.0,0.16001,34,1,1,1,1,unroll_64,1.0,1.0,True
InitiationInterval_29.cpp,xcu200-fsgd2104-2-e,10.0,0.32001,33,1,1,1,1,unroll_32,1.0,0.9716554684118675,False
InitiationInterval_30.cpp,xcu200-fsgd2104-2-e,10.0,10.24006,33,1,1,1,1,pipeline,1.0,0.10000000000000003,False
InitiationInterval_31.cpp,xcu200-fsgd2104-2-e,10.0,2.56005,34,1,1,1,1,unroll_4,1.0,0.6224451587690818,False
InitiationInterval_32.cpp,xcu200-fsgd2104-2-e,5.0,0.640005,30,1,1,1,1,unroll_8,1.0,0.8111126992882939,False
InitiationInterval_33.cpp,xcu200-fsgd2104-2-e,5.0,0.320005,31,1,1,1,1,unroll_16,1.0,0.9163272598770335,False
InitiationInterval_34.cpp,xcu200-fsgd2104-2-e,5.0,5.12005,33,1,1,1,1,pipeline_1,1.0,0.10000000000000003,False
InitiationInterval_35.cpp,xcu200-fsgd2104-2-e,5.0,2.560045,33,1,1,1,1,unroll_2,1.0,0.33219630938392064,False
InitiationInterval_36.cpp,xcu200-fsgd2104-2-e,5.0,0.080005,34,1,1,1,1,unroll_64,1.0,1.0,True
InitiationInterval_37.cpp,xcu200-fsgd2104-2-e,5.0,0.160005,32,1,1,1,1,unroll_32,1.0,0.9716555799893528,False
InitiationInterval_38.cpp,xcu200-fsgd2104-2-e,5.0,5.12005,34,1,1,1,1,pipeline,1.0,0.10000000000000003,False
InitiationInterval_39.cpp,xcu200-fsgd2104-2-e,5.0,1.280045,34,1,1,1,1,unroll_4,1.0,0.6224410124242078,False
InitiationInterval_40.cpp,xcu200-fsgd2104-2-e,3.33,0.21312333,31,1,1,1,1,unroll_16,1.0,0.9163274218434491,False
InitiationInterval_41.cpp,xcu200-fsgd2104-2-e,3.33,0.42624333,31,1,1,1,1,unroll_8,1.0,0.8111130520154173,False
InitiationInterval_42.cpp,xcu200-fsgd2104-2-e,3.33,1.70499663,34,1,1,1,1,unroll_2,1.0,0.3321953879809727,False
InitiationInterval_43.cpp,xcu200-fsgd2104-2-e,3.33,3.40995996,34,1,1,1,1,pipeline_1,1.0,0.10000000000000003,False
InitiationInterval_44.cpp,xcu200-fsgd2104-2-e,3.33,0.05328333,35,1,1,1,1,unroll_64,1.0,1.0,True
InitiationInterval_45.cpp,xcu200-fsgd2104-2-e,3.33,0.10656333,31,1,1,1,1,unroll_32,1.0,0.971655635777766,False
InitiationInterval_46.cpp,xcu200-fsgd2104-2-e,3.33,3.40995996,33,1,1,1,1,pipeline,1.0,0.10000000000000003,False
InitiationInterval_47.cpp,xcu200-fsgd2104-2-e,3.33,0.85251663,33,1,1,1,1,unroll_4,1.0,0.622438939270281,False
